GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
desafio_votacao,com.audry.desafio_votacao.services,VoteService,0,176,2,18,0,38,2,14,0,6
desafio_votacao,com.audry.desafio_votacao.services,VotingSessionService,0,103,0,10,0,20,0,10,0,5
desafio_votacao,com.audry.desafio_votacao.services,VotingAgendaService,0,35,0,0,0,8,0,4,0,4
desafio_votacao,com.audry.desafio_votacao.services,CpfValidationService,0,32,0,4,0,8,0,4,0,2
desafio_votacao,com.audry.desafio_votacao.controller,CpfValidationController,0,12,0,0,0,2,0,2,0,2
desafio_votacao,com.audry.desafio_votacao.controller,VotingAgendaController,0,18,0,0,0,3,0,3,0,3
desafio_votacao,com.audry.desafio_votacao.controller,VoteController,0,19,0,0,0,4,0,3,0,3
desafio_votacao,com.audry.desafio_votacao.controller,VotingSessionController,0,18,0,0,0,3,0,3,0,3
desafio_votacao,com.audry.desafio_votacao.exception,VotingSessionAlreadyExistsException,0,4,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.exception,AssociatedUnableToVoteException,0,4,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.exception,InvalidCpfException,0,5,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.exception,AssociatedAlreadyVotedException,0,4,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.exception,VotingAgendaNotFoundException,0,6,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.exception,GlobalExceptionHandler,27,55,0,0,5,10,3,7,3,7
desafio_votacao,com.audry.desafio_votacao.exception,VotingSessionNotFoundException,0,6,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.exception,VotingSessionClosedException,0,4,0,0,0,2,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.entities,Associated,17,13,0,0,4,2,5,2,5,2
desafio_votacao,com.audry.desafio_votacao.entities,Vote.VoteBuilder,19,30,0,0,0,1,2,5,2,5
desafio_votacao,com.audry.desafio_votacao.entities,VotingAgenda,15,25,0,0,2,5,4,5,4,5
desafio_votacao,com.audry.desafio_votacao.entities,VoteEnum,0,15,0,0,0,3,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.entities,VotingSession,15,45,0,0,1,8,4,9,4,9
desafio_votacao,com.audry.desafio_votacao.entities,Associated.AssociatedBuilder,7,21,0,0,0,1,1,4,1,4
desafio_votacao,com.audry.desafio_votacao.entities,CpfStatusEnum,0,15,0,0,0,3,0,1,0,1
desafio_votacao,com.audry.desafio_votacao.entities,Vote,22,28,0,0,3,5,6,5,6,5
desafio_votacao,com.audry.desafio_votacao.entities,VotingSession.VotingSessionBuilder,16,42,0,0,0,1,1,7,1,7
desafio_votacao,com.audry.desafio_votacao.entities,VotingAgenda.VotingAgendaBuilder,9,28,0,0,0,1,1,5,1,5
desafio_votacao,com.audry.desafio_votacao.dto,VotingResultDto.VotingResultDtoBuilder,8,28,0,0,0,1,1,5,1,5
desafio_votacao,com.audry.desafio_votacao.dto,CpfStatusDto,7,13,0,0,2,3,2,3,2,3
desafio_votacao,com.audry.desafio_votacao.dto,VoteDto.VoteDtoBuilder,10,28,0,0,0,1,1,5,1,5
desafio_votacao,com.audry.desafio_votacao.dto,VotingAgendaDto.VotingAgendaDtoBuilder,6,21,0,0,0,1,1,4,1,4
desafio_votacao,com.audry.desafio_votacao.dto,VotingSessionDto.VotingSessionDtoBuilder,7,21,0,0,0,1,1,4,1,4
desafio_votacao,com.audry.desafio_votacao.dto,VotingSessionDto,0,30,0,0,0,6,0,7,0,7
desafio_votacao,com.audry.desafio_votacao.dto,VotingResultDto,15,25,0,0,2,5,4,5,4,5
desafio_votacao,com.audry.desafio_votacao.dto,CpfStatusDto.CpfStatusDtoBuilder,5,14,0,0,0,1,1,3,1,3
desafio_votacao,com.audry.desafio_votacao.dto,VoteDto,0,40,0,0,0,7,0,9,0,9
desafio_votacao,com.audry.desafio_votacao.dto,VotingAgendaDto,0,30,0,0,0,6,0,7,0,7
desafio_votacao,com.audry.desafio_votacao,DesafioVotacaoApplication,5,3,0,0,2,1,1,1,1,1
